"country","year","type","twh","tot"
"1","United States",2014,"biofuel_electricity",63990,49359.6
"2","United States",2014,"coal_electricity",1581710,49359.6
"3","United States",2014,"gas_electricity",1126610,49359.6
"4","United States",2014,"hydro_electricity",253190,49359.6
"5","United States",2014,"nuclear_electricity",797170,49359.6
"6","United States",2014,"oil_electricity",43690,49359.6
"7","United States",2014,"other_renewable_exc_biofuel_electricity",19080,49359.6
"8","United States",2014,"solar_electricity",28920,49359.6
"9","United States",2014,"wind_electricity",181650,49359.6
"10","United States",2014,"tot",4096010,49359.6
"11","United States",2015,"biofuel_electricity",63630,49359.6
"12","United States",2015,"coal_electricity",1352400,49359.6
"13","United States",2015,"gas_electricity",1333480,49359.6
"14","United States",2015,"hydro_electricity",243990,49359.6
"15","United States",2015,"nuclear_electricity",797180,49359.6
"16","United States",2015,"oil_electricity",44440,49359.6
"17","United States",2015,"other_renewable_exc_biofuel_electricity",19120,49359.6
"18","United States",2015,"solar_electricity",39030,49359.6
"19","United States",2015,"wind_electricity",190720,49359.6
"20","United States",2015,"tot",4083990,49359.6
"21","United States",2016,"biofuel_electricity",62760,49359.6
"22","United States",2016,"coal_electricity",1239150,49359.6
"23","United States",2016,"gas_electricity",1378310,49359.6
"24","United States",2016,"hydro_electricity",261130,49359.6
"25","United States",2016,"nuclear_electricity",805690,49359.6
"26","United States",2016,"oil_electricity",39500,49359.6
"27","United States",2016,"other_renewable_exc_biofuel_electricity",19160,49359.6
"28","United States",2016,"solar_electricity",54870,49359.6
"29","United States",2016,"wind_electricity",226990,49359.6
"30","United States",2016,"tot",4087560,49359.6
"31","United States",2017,"biofuel_electricity",62730,49359.6
"32","United States",2017,"coal_electricity",1205840,49359.6
"33","United States",2017,"gas_electricity",1296440,49359.6
"34","United States",2017,"hydro_electricity",293840,49359.6
"35","United States",2017,"nuclear_electricity",804950,49359.6
"36","United States",2017,"oil_electricity",37890,49359.6
"37","United States",2017,"other_renewable_exc_biofuel_electricity",19040,49359.6
"38","United States",2017,"solar_electricity",77280,49359.6
"39","United States",2017,"wind_electricity",254300,49359.6
"40","United States",2017,"tot",4052310,49359.6
"41","United States",2018,"biofuel_electricity",61830,49359.6
"42","United States",2018,"coal_electricity",1149490,49359.6
"43","United States",2018,"gas_electricity",1469130,49359.6
"44","United States",2018,"hydro_electricity",286620,49359.6
"45","United States",2018,"nuclear_electricity",807080,49359.6
"46","United States",2018,"oil_electricity",42680,49359.6
"47","United States",2018,"other_renewable_exc_biofuel_electricity",18690,49359.6
"48","United States",2018,"solar_electricity",93360,49359.6
"49","United States",2018,"wind_electricity",272670,49359.6
"50","United States",2018,"tot",4201550,49359.6
"51","United States",2019,"biofuel_electricity",57510,49359.6
"52","United States",2019,"coal_electricity",964960,49359.6
"53","United States",2019,"gas_electricity",1585810,49359.6
"54","United States",2019,"hydro_electricity",282610,49359.6
"55","United States",2019,"nuclear_electricity",809410,49359.6
"56","United States",2019,"oil_electricity",37440,49359.6
"57","United States",2019,"other_renewable_exc_biofuel_electricity",17870,49359.6
"58","United States",2019,"solar_electricity",106890,49359.6
"59","United States",2019,"wind_electricity",295880,49359.6
"60","United States",2019,"tot",4158380,49359.6
"61","Germany",2014,"biofuel_electricity",48290,7552.54
"62","Germany",2014,"coal_electricity",274410,7552.54
"63","Germany",2014,"gas_electricity",60610,7552.54
"64","Germany",2014,"hydro_electricity",19590,7552.54
"65","Germany",2014,"nuclear_electricity",97130,7552.54
"66","Germany",2014,"oil_electricity",24670,7552.54
"67","Germany",2014,"other_renewable_exc_biofuel_electricity",100,7552.54
"68","Germany",2014,"solar_electricity",35450,7552.54
"69","Germany",2014,"wind_electricity",58500,7552.54
"70","Germany",2014,"tot",618750,7552.54
"71","Germany",2015,"biofuel_electricity",50330,7552.54
"72","Germany",2015,"coal_electricity",272200,7552.54
"73","Germany",2015,"gas_electricity",61470,7552.54
"74","Germany",2015,"hydro_electricity",18980,7552.54
"75","Germany",2015,"nuclear_electricity",91790,7552.54
"76","Germany",2015,"oil_electricity",25570,7552.54
"77","Germany",2015,"other_renewable_exc_biofuel_electricity",130,7552.54
"78","Germany",2015,"solar_electricity",38080,7552.54
"79","Germany",2015,"wind_electricity",80620,7552.54
"80","Germany",2015,"tot",639170,7552.54
"81","Germany",2016,"biofuel_electricity",50930,7552.54
"82","Germany",2016,"coal_electricity",261750,7552.54
"83","Germany",2016,"gas_electricity",80620,7552.54
"84","Germany",2016,"hydro_electricity",20550,7552.54
"85","Germany",2016,"nuclear_electricity",84630,7552.54
"86","Germany",2016,"oil_electricity",25390,7552.54
"87","Germany",2016,"other_renewable_exc_biofuel_electricity",170,7552.54
"88","Germany",2016,"solar_electricity",37560,7552.54
"89","Germany",2016,"wind_electricity",79920,7552.54
"90","Germany",2016,"tot",641520,7552.54
"91","Germany",2017,"biofuel_electricity",50920,7552.54
"92","Germany",2017,"coal_electricity",241260,7552.54
"93","Germany",2017,"gas_electricity",86040,7552.54
"94","Germany",2017,"hydro_electricity",20150,7552.54
"95","Germany",2017,"nuclear_electricity",76320,7552.54
"96","Germany",2017,"oil_electricity",25160,7552.54
"97","Germany",2017,"other_renewable_exc_biofuel_electricity",160,7552.54
"98","Germany",2017,"solar_electricity",38760,7552.54
"99","Germany",2017,"wind_electricity",105690,7552.54
"100","Germany",2017,"tot",644460,7552.54
"101","Germany",2018,"biofuel_electricity",50790,7552.54
"102","Germany",2018,"coal_electricity",228160,7552.54
"103","Germany",2018,"gas_electricity",81560,7552.54
"104","Germany",2018,"hydro_electricity",17690,7552.54
"105","Germany",2018,"nuclear_electricity",76000,7552.54
"106","Germany",2018,"oil_electricity",23630,7552.54
"107","Germany",2018,"other_renewable_exc_biofuel_electricity",180,7552.54
"108","Germany",2018,"solar_electricity",44320,7552.54
"109","Germany",2018,"wind_electricity",109950,7552.54
"110","Germany",2018,"tot",632280,7552.54
"111","Germany",2019,"biofuel_electricity",50130,7552.54
"112","Germany",2019,"coal_electricity",171450,7552.54
"113","Germany",2019,"gas_electricity",90000,7552.54
"114","Germany",2019,"hydro_electricity",19730,7552.54
"115","Germany",2019,"nuclear_electricity",75070,7552.54
"116","Germany",2019,"oil_electricity",22400,7552.54
"117","Germany",2019,"other_renewable_exc_biofuel_electricity",200,7552.54
"118","Germany",2019,"solar_electricity",45220,7552.54
"119","Germany",2019,"wind_electricity",125890,7552.54
"120","Germany",2019,"tot",600090,7552.54
"121","France",2014,"biofuel_electricity",5990,6794.52
"122","France",2014,"coal_electricity",11260,6794.52
"123","France",2014,"gas_electricity",13160,6794.52
"124","France",2014,"hydro_electricity",63770,6794.52
"125","France",2014,"nuclear_electricity",436480,6794.52
"126","France",2014,"oil_electricity",11340,6794.52
"127","France",2014,"other_renewable_exc_biofuel_electricity",560,6794.52
"128","France",2014,"solar_electricity",6390,6794.52
"129","France",2014,"wind_electricity",17320,6794.52
"130","France",2014,"tot",566270,6794.52
"131","France",2015,"biofuel_electricity",6530,6794.52
"132","France",2015,"coal_electricity",11890,6794.52
"133","France",2015,"gas_electricity",21140,6794.52
"134","France",2015,"hydro_electricity",55560,6794.52
"135","France",2015,"nuclear_electricity",437430,6794.52
"136","France",2015,"oil_electricity",11810,6794.52
"137","France",2015,"other_renewable_exc_biofuel_electricity",580,6794.52
"138","France",2015,"solar_electricity",7750,6794.52
"139","France",2015,"wind_electricity",21420,6794.52
"140","France",2015,"tot",574110,6794.52
"141","France",2016,"biofuel_electricity",7520,6794.52
"142","France",2016,"coal_electricity",10230,6794.52
"143","France",2016,"gas_electricity",34970,6794.52
"144","France",2016,"hydro_electricity",60840,6794.52
"145","France",2016,"nuclear_electricity",403200,6794.52
"146","France",2016,"oil_electricity",11400,6794.52
"147","France",2016,"other_renewable_exc_biofuel_electricity",600,6794.52
"148","France",2016,"solar_electricity",8660,6794.52
"149","France",2016,"wind_electricity",21380,6794.52
"150","France",2016,"tot",558800,6794.52
"151","France",2017,"biofuel_electricity",7780,6794.52
"152","France",2017,"coal_electricity",12810,6794.52
"153","France",2017,"gas_electricity",40500,6794.52
"154","France",2017,"hydro_electricity",50000,6794.52
"155","France",2017,"nuclear_electricity",398360,6794.52
"156","France",2017,"oil_electricity",12120,6794.52
"157","France",2017,"other_renewable_exc_biofuel_electricity",650,6794.52
"158","France",2017,"solar_electricity",9590,6794.52
"159","France",2017,"wind_electricity",24610,6794.52
"160","France",2017,"tot",556420,6794.52
"161","France",2018,"biofuel_electricity",8380,6794.52
"162","France",2018,"coal_electricity",8310,6794.52
"163","France",2018,"gas_electricity",30610,6794.52
"164","France",2018,"hydro_electricity",65110,6794.52
"165","France",2018,"nuclear_electricity",412940,6794.52
"166","France",2018,"oil_electricity",10560,6794.52
"167","France",2018,"other_renewable_exc_biofuel_electricity",610,6794.52
"168","France",2018,"solar_electricity",10810,6794.52
"169","France",2018,"wind_electricity",28600,6794.52
"170","France",2018,"tot",575930,6794.52
"171","France",2019,"biofuel_electricity",8640,6794.52
"172","France",2019,"coal_electricity",3640,6794.52
"173","France",2019,"gas_electricity",39310,6794.52
"174","France",2019,"hydro_electricity",56910,6794.52
"175","France",2019,"nuclear_electricity",399010,6794.52
"176","France",2019,"oil_electricity",10710,6794.52
"177","France",2019,"other_renewable_exc_biofuel_electricity",610,6794.52
"178","France",2019,"solar_electricity",12180,6794.52
"179","France",2019,"wind_electricity",34720,6794.52
"180","France",2019,"tot",565730,6794.52
"181","United Kingdom",2014,"biofuel_electricity",22620,4021.94
"182","United Kingdom",2014,"coal_electricity",100240,4021.94
"183","United Kingdom",2014,"gas_electricity",100890,4021.94
"184","United Kingdom",2014,"hydro_electricity",5890,4021.94
"185","United Kingdom",2014,"nuclear_electricity",63750,4021.94
"186","United Kingdom",2014,"oil_electricity",8690,4021.94
"187","United Kingdom",2014,"other_renewable_exc_biofuel_electricity",0,4021.94
"188","United Kingdom",2014,"solar_electricity",4050,4021.94
"189","United Kingdom",2014,"wind_electricity",31950,4021.94
"190","United Kingdom",2014,"tot",338080,4021.94
"191","United Kingdom",2015,"biofuel_electricity",29260,4021.94
"192","United Kingdom",2015,"coal_electricity",75880,4021.94
"193","United Kingdom",2015,"gas_electricity",99880,4021.94
"194","United Kingdom",2015,"hydro_electricity",6300,4021.94
"195","United Kingdom",2015,"nuclear_electricity",70340,4021.94
"196","United Kingdom",2015,"oil_electricity",9410,4021.94
"197","United Kingdom",2015,"other_renewable_exc_biofuel_electricity",0,4021.94
"198","United Kingdom",2015,"solar_electricity",7530,4021.94
"199","United Kingdom",2015,"wind_electricity",40270,4021.94
"200","United Kingdom",2015,"tot",338870,4021.94
"201","United Kingdom",2016,"biofuel_electricity",30070,4021.94
"202","United Kingdom",2016,"coal_electricity",30670,4021.94
"203","United Kingdom",2016,"gas_electricity",143130,4021.94
"204","United Kingdom",2016,"hydro_electricity",5370,4021.94
"205","United Kingdom",2016,"nuclear_electricity",71730,4021.94
"206","United Kingdom",2016,"oil_electricity",10640,4021.94
"207","United Kingdom",2016,"other_renewable_exc_biofuel_electricity",0,4021.94
"208","United Kingdom",2016,"solar_electricity",10410,4021.94
"209","United Kingdom",2016,"wind_electricity",37160,4021.94
"210","United Kingdom",2016,"tot",339180,4021.94
"211","United Kingdom",2017,"biofuel_electricity",31900,4021.94
"212","United Kingdom",2017,"coal_electricity",22530,4021.94
"213","United Kingdom",2017,"gas_electricity",136750,4021.94
"214","United Kingdom",2017,"hydro_electricity",5880,4021.94
"215","United Kingdom",2017,"nuclear_electricity",70340,4021.94
"216","United Kingdom",2017,"oil_electricity",9710,4021.94
"217","United Kingdom",2017,"other_renewable_exc_biofuel_electricity",0,4021.94
"218","United Kingdom",2017,"solar_electricity",11460,4021.94
"219","United Kingdom",2017,"wind_electricity",49650,4021.94
"220","United Kingdom",2017,"tot",338220,4021.94
"221","United Kingdom",2018,"biofuel_electricity",34980,4021.94
"222","United Kingdom",2018,"coal_electricity",16830,4021.94
"223","United Kingdom",2018,"gas_electricity",131490,4021.94
"224","United Kingdom",2018,"hydro_electricity",5440,4021.94
"225","United Kingdom",2018,"nuclear_electricity",65060,4021.94
"226","United Kingdom",2018,"oil_electricity",9340,4021.94
"227","United Kingdom",2018,"other_renewable_exc_biofuel_electricity",10,4021.94
"228","United Kingdom",2018,"solar_electricity",12670,4021.94
"229","United Kingdom",2018,"wind_electricity",56910,4021.94
"230","United Kingdom",2018,"tot",332730,4021.94
"231","United Kingdom",2019,"biofuel_electricity",37400,4021.94
"232","United Kingdom",2019,"coal_electricity",6920,4021.94
"233","United Kingdom",2019,"gas_electricity",131990,4021.94
"234","United Kingdom",2019,"hydro_electricity",5930,4021.94
"235","United Kingdom",2019,"nuclear_electricity",56180,4021.94
"236","United Kingdom",2019,"oil_electricity",9200,4021.94
"237","United Kingdom",2019,"other_renewable_exc_biofuel_electricity",10,4021.94
"238","United Kingdom",2019,"solar_electricity",12420,4021.94
"239","United Kingdom",2019,"wind_electricity",63840,4021.94
"240","United Kingdom",2019,"tot",323890,4021.94
"241","Italy",2014,"biofuel_electricity",18720,3420.64
"242","Italy",2014,"coal_electricity",43450,3420.64
"243","Italy",2014,"gas_electricity",93660,3420.64
"244","Italy",2014,"hydro_electricity",58550,3420.64
"245","Italy",2014,"nuclear_electricity",0,3420.64
"246","Italy",2014,"oil_electricity",18740,3420.64
"247","Italy",2014,"other_renewable_exc_biofuel_electricity",5920,3420.64
"248","Italy",2014,"solar_electricity",22310,3420.64
"249","Italy",2014,"wind_electricity",15180,3420.64
"250","Italy",2014,"tot",276530,3420.64
"251","Italy",2015,"biofuel_electricity",19390,3420.64
"252","Italy",2015,"coal_electricity",43200,3420.64
"253","Italy",2015,"gas_electricity",110880,3420.64
"254","Italy",2015,"hydro_electricity",45540,3420.64
"255","Italy",2015,"nuclear_electricity",0,3420.64
"256","Italy",2015,"oil_electricity",16730,3420.64
"257","Italy",2015,"other_renewable_exc_biofuel_electricity",6180,3420.64
"258","Italy",2015,"solar_electricity",22940,3420.64
"259","Italy",2015,"wind_electricity",14840,3420.64
"260","Italy",2015,"tot",279700,3420.64
"261","Italy",2016,"biofuel_electricity",19500,3420.64
"262","Italy",2016,"coal_electricity",35610,3420.64
"263","Italy",2016,"gas_electricity",126170,3420.64
"264","Italy",2016,"hydro_electricity",42430,3420.64
"265","Italy",2016,"nuclear_electricity",0,3420.64
"266","Italy",2016,"oil_electricity",16160,3420.64
"267","Italy",2016,"other_renewable_exc_biofuel_electricity",6290,3420.64
"268","Italy",2016,"solar_electricity",22100,3420.64
"269","Italy",2016,"wind_electricity",17690,3420.64
"270","Italy",2016,"tot",285950,3420.64
"271","Italy",2017,"biofuel_electricity",19370,3420.64
"272","Italy",2017,"coal_electricity",32630,3420.64
"273","Italy",2017,"gas_electricity",140360,3420.64
"274","Italy",2017,"hydro_electricity",36200,3420.64
"275","Italy",2017,"nuclear_electricity",0,3420.64
"276","Italy",2017,"oil_electricity",15210,3420.64
"277","Italy",2017,"other_renewable_exc_biofuel_electricity",6200,3420.64
"278","Italy",2017,"solar_electricity",24380,3420.64
"279","Italy",2017,"wind_electricity",17740,3420.64
"280","Italy",2017,"tot",292090,3420.64
"281","Italy",2018,"biofuel_electricity",19140,3420.64
"282","Italy",2018,"coal_electricity",28470,3420.64
"283","Italy",2018,"gas_electricity",128560,3420.64
"284","Italy",2018,"hydro_electricity",48790,3420.64
"285","Italy",2018,"nuclear_electricity",0,3420.64
"286","Italy",2018,"oil_electricity",14620,3420.64
"287","Italy",2018,"other_renewable_exc_biofuel_electricity",6110,3420.64
"288","Italy",2018,"solar_electricity",22650,3420.64
"289","Italy",2018,"wind_electricity",17720,3420.64
"290","Italy",2018,"tot",286060,3420.64
"291","Italy",2019,"biofuel_electricity",19550,3420.64
